44068204	1356.5310924369749
44157687	1356.4974789915966
44247229	1356.524369747899
44336690	1356.5428571428572
44426209	1356.5319327731092
44515670	1356.4176470588236
44605200	1356.39243697479
44694680	1356.440336134454
44784207	1356.4663865546217
44873686	1356.481512605042
44963213	1356.4638655462186
45052673	1356.4243697478992
45142206	1356.510924369748
45231684	1356.5184873949581
45321218	1356.5151260504201
45410679	1356.6142857142859
45500210	1356.6058823529413
45589701	1356.5403361344538
45679204	1356.4966386554622
45768685	1356.5058823529412
45858451	1356.5394957983192
45947692	1356.4899159663864
46038462	1356.4453781512607
46126701	1356.5336134453783
46217857	1356.5151260504201
46614763	1356.5420168067228
46704253	1356.5184873949581
46793768	1356.5294117647059
46883256	1356.5319327731092
46972759	1356.4941176470588
47062243	1356.5336134453783
47151771	1356.568067226891
47241232	1356.5638655462185
47330762	1356.5310924369749
47420221	1356.5058823529412
47509736	1356.5386554621848
47599216	1356.5865546218488
47688720	1356.563025210084
47778197	1356.5546218487395
47867716	1356.5210084033613
47957180	1356.6731092436976
48046694	1356.7957983193278
48136171	1357.0857142857144
48225708	1357.4689075630251
48315171	1357.7966386554622
48404685	1358.10756302521
48494158	1358.4605042016806
48583672	1358.8336134453782
48673137	1359.263025210084
48762660	1359.8218487394959
48852143	1360.3361344537816
48941664	1360.789075630252
49031130	1361.3529411764705
49120650	1361.966386554622
49210113	1362.6352941176472
49299633	1363.2596638655461
49389122	1363.9865546218487
49478643	1364.6655462184874
49568123	1365.3731092436976
49657659	1366.152100840336
49747127	1366.9865546218487
49836657	1367.757142857143
49926105	1368.653781512605
50015648	1369.6319327731094
50105125	1370.4731092436975
50194648	1371.4176470588236
50284108	1372.3033613445377
50373629	1373.2495798319328
50463119	1374.2865546218488
50552642	1375.2008403361344
50642113	1376.1
50731636	1377.1193277310924
50821106	1378.0823529411764
50910621	1379.1201680672268
51000097	1380.146218487395
51089611	1381.079831932773
51179091	1381.9579831932774
51268623	1382.898319327731
51358098	1383.7420168067226
51447623	1384.603361344538
51537103	1385.553781512605
51626620	1386.394117647059
51716085	1387.31512605042
51805604	1388.247899159664
51895060	1388.9966386554622
51984601	1389.7974789915966
52074064	1390.6563025210085
52163593	1391.463025210084
52253063	1392.3268907563024
52342571	1393.2638655462185
52432059	1394.0563025210083
52521580	1394.8319327731092
52611033	1395.672268907563
52700576	1396.4042016806723
52790028	1397.2521008403362
52879551	1398.0857142857144
52969039	1398.9571428571428
53058554	1399.8546218487395
53148025	1400.5470588235296
53238381	1401.3705882352942
53327006	1402.1226890756304
53418186	1402.9260504201682
53506004	1403.7773109243697
53595524	1404.6117647058825
53685010	1405.4840336134455
53774580	1406.3084033613445
54172942	1410.0789915966386
54262437	1410.9630252100842
54351962	1411.8067226890755
54441425	1412.681512605042
54530954	1413.5319327731092
54620424	1414.3991596638655
54709959	1415.2394957983192
54799418	1416.0949579831934
54888960	1416.9067226890757
54978414	1417.9193277310926
55067946	1418.790756302521
55157419	1419.6260504201682
55246976	1420.4420168067227
55336408	1421.2252100840337
55425959	1422.2394957983192
55515429	1423.1193277310924
55604956	1424.0142857142857
